cntntsNo,cntntsSj,clCodeNm,fruit,succulent,vine,growthAra,growthHgI,lighttdemand,manage,watercycle
12938,가울테리아,1,1,0,0,1,1,2,58001,53003
12954,개운죽,0,0,0,0,2,2,1,58001,53002
12955,골드크레스트 '윌마',0,0,0,0,2,3,4,58002,53003
12957,공작야자,0,0,0,0,3,3,2,58003,53003
12962,관엽베고니아,1,0,0,0,2,1,2,58002,53003
12963,관음죽,0,0,0,0,3,3,1,58002,53003
12966,구문초,1,0,0,0,2,2,2,58003,53003
12972,구즈마니아,1,0,0,0,2,1,2,58003,53003
12974,군자란,1,0,0,0,2,2,2,58002,53003
12988,글레코마,1,0,0,1,2,1,2,58001,53003
12990,금목서,1,0,0,0,2,3,2,58001,53003
12994,금사철나무,0,0,0,0,3,3,2,58002,53003
12998,금식나무,0,1,0,0,3,3,2,58001,53003
13186,금전수,0,0,0,0,2,2,2,58001,53003
13196,금천죽,0,0,0,0,2,3,1,58001,53003
13199,기누라,0,0,0,0,2,1,2,58003,53003
13201,꽃베고니아,1,0,0,0,2,1,4,58002,53002
13202,나도풍란,1,0,0,0,1,1,5,58003,53004
13203,나한송,0,0,0,0,3,3,2,58001,53002
13206,남천,0,1,0,0,3,3,4,58001,53003
13207,네마탄투스,1,0,0,1,2,1,2,58002,53003
13208,네오레겔리아,1,0,0,0,2,1,2,58003,53003
13210,녹영,0,0,0,1,2,1,2,58003,53004
13218,뉴기니아봉선화,1,0,0,0,2,1,2,58002,53002
13333,대만고무나무,0,0,0,0,3,3,2,58003,53003
13335,더피고사리,0,0,0,0,2,1,2,58001,53002
13336,덕구리난,0,0,1,0,2,3,4,58001,53003
13337,데코라고무나무,0,0,0,0,3,3,2,58003,53003
13338,덴파레,1,0,1,0,2,2,4,58002,53004
13339,도깨비고비,0,0,0,0,2,1,1,58001,53002
13340,돈나무,1,1,0,0,2,3,2,58001,53003
14663,동백,1,0,0,0,3,3,4,58003,53003
14674,둥근잎 아랄리아,0,0,0,0,3,3,2,58003,53003
14675,듀란타,1,0,0,0,3,3,4,58003,53003
14676,드라세나  '송오브자마이카',0,0,0,0,2,3,1,58002,53003
14687,드라세나  '와네끼',0,0,0,0,3,3,2,58002,53003
14694,드라세나 '송오브인디아',0,0,0,0,2,3,1,58002,53002
14696,드라세나 '자바',0,0,0,0,3,3,2,58002,53003
14697,드라세나 '콤팩타',0,0,0,0,2,3,1,58002,53002
14698,드라세나 '트리컬러 레인보우',0,0,0,0,3,3,2,58002,53002
14688,드라세나 드라코,0,0,0,0,2,3,2,58003,53003
14689,드라세나 마지나타,0,0,0,0,2,3,2,58002,53002
14690,드라세나 맛상게아나,0,0,0,0,2,3,1,58001,53002
14691,드라세나 산데리아나,0,0,0,0,2,3,1,58001,53002
14692,드라세나 산데리아나 '세레스',0,0,0,0,2,2,1,58002,53002
14695,드라세나 수르쿨로사,0,0,0,0,3,3,1,58003,53003
14699,디지고데카,0,0,0,0,2,3,2,58003,53003
14700,디펜바키아 '마리안느',0,0,0,0,2,2,2,58003,53003
